,Question,Answer
177748,"
   إمرأة بريطانيا تطلب الطلاق
ﻷن زوجها يقوم بالضغط على معجون الأسنان من الوسط
تقول :انه لايعرف الإتكيت >>

يابنت الناس استهدي بالله واحمدي ربك بنظف اسنانه 
عنا ناس اذا ابتسمت بنشوف العشاء تبع اول مبارح
😂😂😂😂😂😂😂😂😂
صباحكم ابتسامة 🌹
  ","
  Morning☺
  "
177749,"
   .من لا يتألم لا يتعلم ..
فالألم هو أقوى دافع للتغيير نحو الأفضل..!
  ","

   رايت👏👏
  
"
177750,"
   اصعب شعور ممكن تحسو 💔
انو تكون تحب حدا وتغار عليه 
بس مين انتا لحتى تعاتبو 😔
  ","
  😔
  "
177751,"
   لايكات وبردهم
  ","

   مين طيب
  
"
177752,"
   #جماعي 
شو بلدك الاصلية 😎 
انا يبناوي
  ","

   انا المانية هه
  
"
177753,"
   ヽ｀ヽ、ヽ｀ヽ｀、ヽ｀｀、ヽ、｀｀、 ｀、ヽ｀｀、 、ヽ ｀ ヽ｀、｀、、ヽヽ｀ヽ、｀｀、 、ヽ ｀ ヽ｀、ヽ｀｀、ヽ｀ヽ｀、、ヽ ｀ヽ｀｀、ヽ｀｀、ヽ｀｀ヽヽ｀ヽ、ヽ｀ヽ｀、ヽ｀｀、ヽ、｀｀、 ｀、ヽ｀｀
مطــر في صفحتي💦💦💦💦 ماشاء الله 😂😂😂☔⚡ صفحة مباركة 😌😌
  ","
  ⛄❄
  "
177754,"
   في اللحظة التي تشعر فيها أن كل شيء يُعاكس رغباتك،كل الأحوال تقف ضدّك تذكر 👇💟
 ﴿ لا تدري لعلّ الله يُحدث بعد ذلك أمرا ﴾💚

اللهم فرج عن كل من مهموم ضيقته 😔 قول يارب 😍
#رسالة_فرحة 😉
#فريق_العفة ❤
دعكم من شيماء المكتئبه وهيا للتفاؤل من جديد ..
  ","
  🏃🏃🏃
  "
177755,"
   كم مضى من عمرك ؟ لا يهم التحديد ! 
لكن لا اريد من هم اقل من 18 قولو لي كم مضى لحتى اعلم من اناقش في مواضيع سيتم طرحها ومشاركتكم بها اذ اردتم
  ","

   18 وكم خشبة 😄
  
"
177756,"
   اذا حسيت إنك👈 #محتاجني تعال ✔

بتلقاني #معك✋ ع #المُرة ❌ قبل #الحلوة 😊

حتى لو #بيننا زَعل ...??

انا #أكبَر◀ من إني #أخذلَك
  ","
  👌
  "
177757,"
   البنت لما حدا يحكيلها:
 "" نحفانة ""
🙊🙊🙊
بترد عليه : 
"" عودگ رنان 
رنة عودگ إلي 
عيدها كمان 
ضلگ عيد يا علي 😍😍😍""

😂😂😂😂😂
  ","

   وسمعنا العووود💃
  
"
177758,"
   صحيح اني👦
 حلو😍وبجنن😘وحباب😌وطيب😝
ومؤدب☺واخلاق😚وخجول☺وبسمع الكلام😅
وما بزعل من حدا😢 ودمي عسل 😉 وكريم😃
#بس_بعمري_مافكرت_امدح_نفسي 😒😌✋
😂😂😂😂
  ","

   كشيلك☺😄
  
"
177759,"
   نصيحة الي
  ","

   سطح علاقاتك مع الناس تسلم☺
  
"
177760,"
   ارى من بعيد سحبا من الفرج تجتمع اراها تستعد لتمطر حولنا فرجا يروي جفاف القلوب فرحا ينهمر فتنبت بأجمل الاماني !*

 صباح الخير ..💙
  ","

   صباح الورد
  
"
177761,"
   و صباح الفيروز لما غنت "" حبيتك متل ما حدا حب و لا بيوم راح بحب و نتا شايفها عادية مش بـ ِ هالأهمية ، بجرب ما بفهم شو الي علقني فيك ""
و عن المشاعر الي اختصرتها بقلبي
صباح الحب المش مقدر قيمتو 💙🌸
  ","

   صباح الياسمين💔
  
"
177762,"
   -
يسعد صباحكم بكل خير ♡ وين ما كنتو 
رجعنا بعد غياب 
اكتبو من عراقة حكيكم ، و سمعونا أغنية حلوة 
💚
  ","

   شوية اسئلة ما بدي اجوبتها :
   
   قلبك بدق كتير بس تشوفني زي لما بشوفك؟وعيونك بصيروا يلمعوا كتير زي عيوني ؟ ضحكتك بتكبر ،لدرجة انه عيونك بغمضوا متل عيوني؟ طيب..
   
   بتحفظ كل كلماتي متل ما بحفظ كل كلماتك ؟عارف ردات فعلي قبل متل ما انا عارفة انك لما بتغار بتسكت ،ولما تكون مبسوط بشوفة حدا بتحبه بتضل تحكي ومعجوق مع انه حكيك قليل ؟
   
   طيب ..
   
   بتحب اللون الازرق لانه هيك لون عيوني متل مابحب الأخضر لانه لون عيونك؟ عارف شو بحب احضر أفلام بس امل وازهق متل ما بعرف شو بتحب تحضر انت أفلام .
   
   بتعرف شو اسم اكتر كاتب بحبه متل ما بعرف نوعك المفضل بالسيارات والجيم المفضل؟ عارف ايش بحب البس غالبا متل ما بعرف انك بتحب تلبس اي لبس بخص الرياضة .
   
   طيب بتحط ايدك على قلبك لما حدا يحكي اسمي متل ما بحط ايدي على قلبي ؟
   
   بتشتقلي متل مابشتقلك؟ بتفكر في دايما متل مابفكر فيك ؟
   
   طيب انسى كل هدول الاسئلة وجاوبني على سؤال واحد :
   
   بتحبني متل مابحبك ؟؟
   
   #سارة💙
  
"
177763,"
   اصنع لنفسك يوما يليق بك ...

يسعد صباحكم :)
  ","

   صباح الفل للناس الكل
  
"
177764,"
   صباحٌ يُشرق تفاؤلاً ويعزفُ أملاً و يكتبُ حروفاً جديدة للسعادة ،
اللهم بك أصبحنا وعليك توكلنا فـَ احفظنا أنت خير الحافظين <3
صباح الخير
  ","

   صباح الورد
  
"
177765,"
   @""سعاده الاسك،،💙👅؟.
  ","

   @saranice77920
  
  يلا انجوي
  "
177766,"
   صباح الخير للذين يمتلكون معدّلات دراسية منخفضة 😍💛 
أما الشاطرين والقطاعات فلا صباح لهم ولا خير  🐸🚬
  ","

   هههههه يسعد صباحك وقلبك 😁😂
  
"
177767,"
   اسك تايه يا ولاد الحلال✋😂
  ","

   هههه ههه هه ه
  
"
177768,"
   نامي ولي
  ","

   ولة تولك😊☺
  
"
177769,"
   مساحه لي 😊
  ","

   كم تبدو المسافة هائلة بين ما يشعر به المرء وبين ما يستطيع شرحه للآخرين😔
  
"
177770,"
   صباح الفل
  ","

   صباحو
  
"
177771,"
   "" عندما ترهقك الحياه وجعًا أرهقها صبرًا فما بعد الصبر .. إلا الفرج ""

صباح التفاؤل !*
  ","

   صباح الورد
  
"
177772,"
   كيف عرفتيني
  ","

   بتساخف عليك متل ما بتتساخف عليي😀
  
"
177773,"
   عارفتيني
  ","

   اه كيف حالك
  
"
177774,"
   مسا الخيرات
  ","

   مسا الوردات
  
"
177775,"
   هههه قبل لا نتخوزق 😎😎
  ","

   هههههه اه والله😅
  
"
177776,"
   خلص سكري من هسا اذن :p
  ","

   قاعدة عقلبك😒
  
"
177777,"
   وانا بلحقك 💃💃
  ","

   المفروض قبل الفيرست هههه
  
"
177778,"
   ههههه هلا بدنا نصير نهجم عندك 😝😝
  ","

   ههههه كلهم كم يوم وبعدين بسكر الاسك 💃
  
"
177779,"
   انبلا عادي خيتا مش قصة كبيرة
  ","

   اها
  
"
177780,"
   هههه لك هاد اللي بحكي عن الوزن لو يشوف وزني ايش بدو يعمل  😂😂😂
  ","
  😂😂😂😂
  
  وك صايرين ينكشو مخ عليي😂
  "
177781,"
   يخليكم لبعض
  ","

   ويخليك/ي
  
"
177782,"
   اذا انتي تعانين من نقصان في الوزن
  ","

   خبير/ة تغزية 😅؟
  
"
177783,"
   يختاي مزكاكي 😂❤
  ","

   حصتي 😝😁😂
  
"
177784,"
   المنحنى الى اي مسار يتجه في الوقت الحالي هل تجاوزتي ال 60 KG ؟
  ","

   لااا الحمدالله ما وصلت لهالمواصيل 😂😂
  
"
177785,"
   ايون ايش مع صاحبتك
  ","

   اختي هاي 😋ايش معك
   
   دك تحكي مين انت/ي اور نت😕
  
"
177786,"
   هل تخجلين من وزنك ؟
  ","

   انه في ازدياد دائم هههههه ما الو ايشي محدد😅
  
"
177787,"
   بشرب نسكافيه 
موجود؟
  ","

   في مع شوكلاتة كمان
  
"
177788,"
   بس تعرفي الانون احمكيلي مين عشان انا اللي صار عندي فضول 😂😂
  ","

   وانا 😂
   
   هلأ بختفي😅
  
"
177789,"
   اكم هو وزنك الحالي ؟
  ","

   اسأل عن كل ايشي الا هاد 😂عيب هيكا
  
"
177790,"
   نكشف القناع يعني :D
  ","

   يا ريت 😀
  
"
177791,"
   تسلميلو لقلبي 
فديتني محسنني 😂❤
  ","

   ههههههه هلا وغلا
   
   تشربي كوفي شاي؟؟😂
  
"
177792,"
   بجنن حالي ياخي بجنن
  ","

   انشالله عطول😝
  
"
177793,"
   اين هو مكان سكنتك ؟
  ","

   في بلاد جنين
  
"
177794,"
   الخنشرة 😂
  ","
  😝😝
  "
177795,"
   اكم طولك ؟
  ","
  160😀
  "
177796,"
   ما بتعرفيني :D
  ","

   بنتعرف😝😋
  
"
177797,"
   جعل محد اشتاقلي غيركك 
أنا عندي كل هالجمال وما بحكي معه ؟ 😂
  ","

   يعمري 😂😂
   
   كيف حالك😂😂😂😂😂
  
"
177798,"
   هههههه ااه الاول مش التاني 
لانو ما بتقعدي بابدار قد ما بتقعدي بالجامعة 😂😂
  ","

   هههههه اه لقد هرمنا من اولها 😭😭😭
  
"
177799,"
   سنفورة 😂😂😂
  ","

   😋هو في احلى من السنفرة
  
"
177800,"
   طب صحة و عافية :p
  ","

   عقلبك😀
   
   بس مين😅
  
"
177801,"
   احكي للانون هو انتي بتطلعي من الاداب 😂😂
  ","

   مني بحكيلو بيتي التاني المفروض حكيت الاول😂😂😂
  
"
177802,"
   بلشنا نتخنشر 😂😂 بتضلك اول فصل 😌
  ","

   ههههه
  
"
177803,"
   ههههه لا عالساعة الثلاث كنتي تشتري من الآلة
  ","

   اه 😳
   
   مين؟؟
  
"
177804,"
   بعدين بعدك سنفورة بلزمك كلشي 😂
  ","

   نووو عن مية خنشور انا هههه😋
  
"
177805,"
   انتي كنتي اليوم بالاداب
  ","

   الآداب بيتي التاني هههه
  
"
177806,"
   بالجامعة كلشي بلزم خصوصا بالامريكية 😂
  ","

   رايت هههه
  
"
177807,"
   ماااي هاتي #مساحة 😌
  ","

   ملا انت 😪
  
"
177808,"
   واخيراا خلصصت من امتحاناتي 😖 وهلء رججعت بعد فتره غياب *-* .. ملاحظه :لعنة الله ع توجيهي 😭.. المهم يلي بعرف موقع بيعرض كتاب زحمة حكي لعلي النجم 💙 يعطيني ياه .. ويلي قرأو يحكيلي رأيو فيه .-.
  ","

   ببيعوه بالجامعة عنا😋
  
"
177809,"
   كل الوعود التي اتخذناها سوياً ،كانت كلامٌ فارغ لم ننل منه سوى احلامٍ بنيناها سوياً ثم هدمناها بقبلة وداع .😔
  ","

   يا حسرة بس😯😟
  
"
177810,"
   معلومة يمكن تفيدك و تسآعدك في درآستك في أخر آنسر عندي 👌
  ","

   ولا ايشي ممكن يساعدني😁
  
"
177811,"
   ومن يتقي الله يجعل له مخرجاً ويرزقه من حيث لا يحتسب .. 
تأملوها فقط :)
  ","

   ونعم بالله💙
  
"
177812,"
   هل تعتقد داخلك انك رجل بحق ؟/ولماذا🕵
هل تعتقدين داخلك انك انثى بحق ؟ولماذا؟👱
  ","

   يس مشان ما في حل وسط😀
  
"
177813,"
   وحده #حكتلي😍
صفحتك #بتونس😍
قلتلها لا #بفلسطين😬
حكتلي لا قصدي#بتسلي😃
قلتلها اه وكمان #بتصوم😄😄
الحيوانه صار اسمها #مستخدم_فيسبوك😂😂😂
  ","

   هههه
  
"
177814,"
   هل السكوت علامه الرضا ؟؟؟مارايكم انتم ؟؟؟
  ","

   حسب الموقف
   
   احيانا بكون علامة رضا
   
   واحيانا بكون فقط استسلام
   
   او اما تخطيط داخلي لردة فعل اقوى من الكلام 😀
  
"
177815,"

    http://sayat.me/asallakhalid
   
   اكتبولي شي
  ","
  Km btdf3i😝
  "
177816,"
   مسا الخيير ✋ ، زمان عني صح ؟ 🌚
  ","

   يس مس يو هه
  
"
177817,"
   للتأكيد ❤✌ . .  انا متابعكك 💙☺ ☆¤▪•°
مساحة لجمال كلامكك 🌸💕☆¤▪•°
  ","

   في طريقه للسماء
   
   تعثر بألف نجمة
   
   وتلطخ بضوئها
   
   بعد ألف نجمة
   
   صار قمرا
  
"
177818,"
   رُبمْا غَدْ أو بَعدَ غَدْ
رُبمْا بَعدَ سِنينٍ لا تُعَدْ
رُبمْا ذاتَ مَساءْ ..
سـَ نَلتقيْ 
فيْ طَريقٍ عابِرْ 😔💔
  ","

   ربما 😓
  
"
177819,"
   تمنشني حدن غيري 😂 ٧.٧
  ","

   هههههههه منشنيني بمنشنك😝
  
"
177820,"
   هلا جد كيف ممكن انو نفسي تنفتح ع الدراسة 😭😭
  ","

   فاتح شهية😋
  
"
177821,"
   بغار لو سمحتي :"")))
  ","

   ليش😢
  
"
177822,"
   إسمكگ الربآعي 😜🍃
  ","

   ههههههههههه
  
"
177823,"
   @""منشن أول شخص قوله كلام من قلبگ !💙💭؛
  ","

   @AseelAAbuobaid
  
  كلام من قلبك 💙
  "
177824,"
   صباحووو ماااي #مساحة 😁😉
  ","
  Morning😁
  "
177825,"
   انتي من الاشرفيه
  ","

   وين هاي
  
"
177826,"
   مات 😢😢
   
    @jgdrfc
   
","

   دفتر العلامات
  
"
177827,"
   هَلْ ليْ بِدُعاءٍ مِنْ طيْب قَلبگْ ؟❤
  ","

   الله يوفقك ويسعدك😀
  
"
177828,"
   الله يسعدك انتي وياها ويخليكم لبعض
  ","

   آمين😀
  
"
177829,"
   هههههه مين اجا فيها ..
احسن وحدة اصلا اسول
   
    @AseelAAbuobaid
   
","

   ولا حدا ليش بهونلي حدا ييجي بحصتي  😝
  
"
177830,"
   Followed .. 
Back ✋❤
  ","
  Mtab3tk😁
  "
